SONG TITLE	ARTIST / COMPOSER	GENRE	YEAR
9 to 5	Dolly Parton	Pop	1980
10,000 Hours	Dan + Shay ft. Justin Bieber	Pop	2019
After the Love Has Gone	Earth Wind & Fire	Soul / R&B	1979
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell	Soul / R&B	1967
Ain't No Sunshine	Bill Withers	Soul / R&B	1971
All I Want Is You	U2	Rock	1988
All of Me	John Legend	Pop	2013
All the Small Things	Blink-182	Pop	1999
American Girl	Tom Petty	Rock	1976
Anti Hero	Taylor Swift	Pop	2022
At Last	Etta James	Jazz	1960
Beautiful Day	U2	Rock	2000
Beautiful in White	Shane Filan	Pop	2013
Besame Mucho	Consuelo Velázquez	Classical	1940
Best Day of My Life	American Authors	Pop	2013
Best Part	Daniel Caesar	Soul / R&B	2017
Birds of a Feather	Billie Eilish	Pop	2024
Bittersweet Symphony	The Verve	Pop	1997
Bohemian Rhapsody	Queen	Rock	1975
Can't Help Falling in Love	Elvis Presley	Jazz	1961
Can't Take My Eyes Off You	Frankie Valli	Pop	1967
Carolina in My Mind	James Taylor	Folk 	1968
Chandelier	Sia	Pop	2014
Come Monday	Jimmy Buffett	Folk / Rock	1974
Congratulations	Mac Miller	Pop	2016
Dancing in the Dark	Bruce Springsteen	Rock	1984
Dancing in the Moonlight	King Harvest	Rock	1972
Dancing Queen	ABBA	Pop	1976
Desperado	Eagles	Rock	1973
Don't Stop Believin'	Journey	Rock	1981
Dream On	Aerosmith	Rock	1973
Dune Main Theme	Hans Zimmer	Classical / Film	2021
Enchanted	Taylor Swift	Pop	2010
Fade Into You	Mazzy Star	Pop	1993
Find Someone Like You	Adele	Pop	2021
Fire & Rain	James Taylor	Folk / Rock	1970
Fix You	Coldplay	Rock	2005
The Flower Duet from Lakme	Leo Delibes	Classical	1882
Fly Me to the Moon	Bart Howard	Jazz	1954
The Force Theme	John Williams	Classical	1977
Free Fallin'	Tom Petty	Rock	1989
Friends in Low Places	Garth Brooks	Country	1990
From This Moment On	Shania Twain	Country	1998
The Girl from Ipanema	Antonio Carlos Jobim	Jazz 	1962
Girls Like You	Maroon 5	Pop	2017
Glory Days	Bruce Springsteen	Rock	1984
Going to California	Led Zeppelin	Rock	1971
Golden Hour	JVKE	Pop	2022
GOT Opening Theme	Ramin Djawadi	Rock / Film	2011
Hallelujah	Leonard Cohen	Folk	1984
Happy	Pharrell Williams	Pop	2013
Here Comes the Sun	The Beatles	Rock	1969
Hey Jude	The Beatles	Rock	1968
Home	Phillip Phillips	Country	2012
Hoppipolla	Sigur Ros	Pop/Rock	2005
Hotel California	Eagles	Rock	1977
House of the Rising Sun	The Animals	Rock	1964
How Long Will I Love You	Ellie Goulding	Pop	2013
How Sweet It Is	James Taylor	Folk / Country	1975
Hymne a l'amour	Edith Piaf	Jazz	1949
I Can't Make You Love Me	Bonnie Raitt	Soul / R&B	1991
I Choose You	Sara Bareilles	Pop	2013
I Could Fall in Love	Selena	Pop	1995
I Don't Want to Miss a Thing	Aerosmith	Rock	1998
I Giorni	Ludovico Einaudi	Classical	2001
I Knew You Were Trouble	Taylor Swift	Pop	2012
I Like Me Better	Lauv	Pop	2017
I Melt with You	Modern English	Pop	1982
I Took a Pill in Ibiza	Mike Posner	Pop	2015
I Will Always Love You	Dolly Parton	Pop	1973
If I Ain't Got You	Alicia Keys	Pop / Soul	2003
If I Die Young	The Band Perry	Folk / Country	2010
In My Blood	Shawn Mendes	Pop	2018
Isn't She Lovely	Stevie Wonder	Soul / R&B	1976
