SONG TITLE	ARTIST / COMPOSER	GENRE	YEAR
9 to 5	Dolly Parton	Country	1980
10000 Hours	Dan + Shay ft. Justin Bieber	Country Pop	2019
After the Love Has Gone	Earth Wind & Fire	R&B / Soul	1979
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell	Soul / Motown	1967
Ain't No Sunshine	Bill Withers	Soul / R&B	1971
All I Want Is You	U2	Rock	1988
All of Me	John Legend	Pop / Soul	2013
All the Small Things	Blink-182	Pop Punk	1999
American Girl	Tom Petty	Rock	1976
Anti Hero	Taylor Swift	Pop	2022
At Last	Etta James	R&B / Soul	1960
Beautiful Day	U2	Rock	2000
Beautiful in White	Shane Filan	Pop / Wedding	2013
Besame Mucho	Consuelo Velázquez	Latin / Bolero	1940
Best Day of My Life	American Authors	Indie Pop	2013
Best Part	Daniel Caesar	R&B / Soul	2017
Birds of a Feather	Billie Eilish	Pop	2024
Bittersweet Symphony	The Verve	Alternative Rock	1997
Bohemian Rhapsody	Queen	Classic Rock	1975
Can't Help Falling in Love	Elvis Presley	Pop / Oldies	1961
Can't Take My Eyes Off You	Frankie Valli	Pop	1967
Carolina in My Mind	James Taylor	Folk / Soft Rock	1968
Chandelier	Sia	Pop	2014
Come Monday	Jimmy Buffett	Soft Rock / Country	1974
Congratulations	Mac Miller	Hip Hop	2016
Dancing in the Dark	Bruce Springsteen	Rock / Pop	1984
Dancing in the Moonlight	King Harvest	Pop / Rock	1972
Dancing Queen	ABBA	Pop / Disco	1976
Desperado	Eagles	Country Rock	1973
Don't Stop Believin'	Journey	Classic Rock	1981
Dream On	Aerosmith	Classic Rock	1973
Dune Main Theme	Hans Zimmer	Film Score	2021
Enchanted	Taylor Swift	Pop	2010
Fade Into You	Mazzy Star	Dream Pop / Folk	1993
Find Someone Like You	Adele	Pop / Soul	2021
Fire & Rain	James Taylor	Folk / Soft Rock	1970
Fix You	Coldplay	Alternative Rock	2005
The Flower Duet (from Lakme)	Leo Delibes	Classical / Opera	1882
Fly Me to the Moon	Bart Howard	Jazz / Standards	1954
The Force Theme	John Williams	Film Score	1977
Free Fallin'	Tom Petty	Rock / Pop	1989
Friends in Low Places	Garth Brooks	Country	1990
From This Moment On	Shania Twain	Country Pop	1998
The Girl from Ipanema	Antonio Carlos Jobim	Bossa Nova / Jazz	1962
Girls Like You	Maroon 5	Pop	2017
Glory Days	Bruce Springsteen	Rock	1984
Going to California	Led Zeppelin	Folk Rock	1971
Golden Hour	JVKE	Pop	2022
GOT Opening Theme	Ramin Djawadi	Film / TV Score	2011
Hallelujah	Leonard Cohen	Folk / Pop	1984
Happy	Pharrell Williams	Pop / Soul	2013
Here Comes the Sun	The Beatles	Pop / Folk Rock	1969
Hey Jude	The Beatles	Classic Rock / Pop	1968
Home	Phillip Phillips	Folk Pop	2012
Hoppipolla	Sigur Ros	Post-Rock / Ambient	2005
Hotel California	Eagles	Classic Rock	1977
House of the Rising Sun	The Animals	Classic Rock / Blues	1964
How Long Will I Love You	Ellie Goulding	Pop	2013
How Sweet It Is	James Taylor	Soft Rock / Soul	1975
Hymne a l'amour	Edith Piaf	Chanson / Cabaret	1949
I Can't Make You Love Me	Bonnie Raitt	Pop / Blues	1991
I Choose You	Sara Bareilles	Pop	2013
I Could Fall in Love	Selena	Pop / Latin	1995
I Don't Want to Miss a Thing	Aerosmith	Rock Ballad	1998
I Giorni	Ludovico Einaudi	Contemporary Classical	2001
I Knew You Were Trouble	Taylor Swift	Pop / Electropop	2012
I Like Me Better	Lauv	Indie Pop	2017
I Melt with You	Modern English	New Wave / Post-Punk	1982
I Took a Pill in Ibiza	Mike Posner	Pop	2015
I Will Always Love You	Dolly Parton	Country / Pop	1973
If I Ain't Got You	Alicia Keys	R&B / Soul	2003
If I Die Young	The Band Perry	Country	2010
In My Blood	Shawn Mendes	Pop	2018
Isn't She Lovely	Stevie Wonder	R&B / Soul	1976
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett	Country	2003
Jolene	Dolly Parton	Country	1973
Just the Way You Are	Bruno Mars	Pop / R&B	2010
Just Us			
Kashmir	Led Zeppelin	Classic Rock	1975
Killing Me Softly	Roberta Flack	Soul / Pop	1973
