SONG	ARTIST
500 Miles	The Proclaimers
Ain't Nobody	Chaka Khan
All Of Me	John Legend
All Summer Long	Kid Rock
Arms Wide Open	Creed
Betterman	Pearl Jam
Big Jet Plane	Angus & Julia Stone
Billionaire	Bruno Mars / Travie McCoy
Black Birds	The Beatles
Black n Gold	Sam Sparro
Blister	Violent Femmes
Body Like A Back Road	Sam Hunt
Break Even	The Script
Brown Eyed Girl	Van Morrison
Cake By The Ocean	DNCE
Can't Stop The Feeling	Justin Timberlake
Change the World	Eric Clapton
Chasing Cars	Snow Patrol
Closer	Ne-Yo
Crazy	Seal
Crazy Love	Van Morrison
Danny's Song	Kenny Loggins
Dare You to Move	Switchfoot
Die a Happy Man	Thomas Rhett
DJ Got Us Fallin' In Love	Usher
Don't Hold Back	Potbellys
Don't You Worry Child	Swedish House Mafia
Dream Catch Me	Newton Faulkner
Drive	Incubus
Dynamite	Taio Cruz
Easy	Faith No More
Everything	Lifehouse
Everything	Vertical Horizon
Free Fallin'	John Mayer
Free Fallin'	Tom Petty
Fresh Eyes	Andy Grammer
Get Lucky	Pharrell Williams
Give Me Love	Ed Sheeran
Hero/Heroine	Boys Like Girls
Here Without You	3 Doors Down
Home	Phillip Phillips
House Of The Rising Sun	Animals
House Of The Rising Sun	The Animals
How Far We've Come	Matchbox 20
How Sweet It Is	James Taylor
I Won't Give Up	Jason Mraz
I'm Not Over	Carolina Liar
I'm Yours	Jason Mraz
If You Could Only See	Tonic
In My Head	Jason Derulo
In The Name of Love	U2
Into the Night	Santana
Iris	Goo Goo Dolls
Jenny Don't Be Hasty	Paolo Nutini
Just The Way You Are	Bruno Mars
King of Wishful Thinking	Go West
Kryptonite	3 Doors Down
Layla	Eric Clapton
Lego House	Ed Sheeran
Let Her Cry	Hootie and the Blowfish
Let It Rock	Kevin Rudolf feat. Lil Wayne
Little Lion Man	Mumford and Sons
Livin' on a Prayer	Bon Jovi
Marry Me	Train
Mr. Brightside	The Killers
Mr Jones	Counting Crows
Mountain	Tonic
My Happiness	Powderfinger
No One	Alicia Keys
Not A Bad Thing	Justin Timberlake
Otherside	Red Hot Chili Peppers
Plush	Stone Temple Pilots
Put Your Hands	Reef
Remind Me	Nickelback
Save Tonight	Eagle Eye Cherry
Sex on Fire	Kings of Leon
Shake It	Metro Station
Shape Of You	Ed Sheeran
Shimmer	Fuel
Shine	Collective Soul
Shut Up And Dance	Walk The Moon
Sing	Travis
Slide	Goo Goo Dolls
Small Things	Blink 182
So Beautiful	Pete Murray
Steal My Kisses	Ben Harper
Stickfist	Tool
Stuck in the Middle	Stealers Wheel
Superstitious	Stevie Wonder
Sweet Child O' Mine	Guns N' Roses
Take it Easy	Eagles
The Lazy Song	Bruno Mars
Thinking Out Loud	Ed Sheeran
To Be With You	Mr Big
Under the Bridge	Red Hot Chili Peppers
Use Somebody	Kings of Leon
Wagon Wheel	Darius Rucker
Watch Over You	Alter Bridge
We Found Love	Rihanna
What I Got	Sublime
Wish You Were Here	Incubus
Wish You Were Here	Pink Floyd
With Or Without You	U2
Wonderwall	Oasis
You Make My Dreams	Daryl Hall & John Oates
You're a God	Vertical Horizon
Your Song	Elton John
