SONG	ARTIST	GENRE
A Thousand Years	Christina Perri	Pop
All About That Bass	Meghan Trainor	Pop
All Of Me	John Legend	Pop
Anxiety	Doechii	Pop/Hip-Hop
Apologize	OneRepublic	Pop/Rock
Applause	Lady Gaga	Dance/Pop
Attention	Charlie Puth	Pop/Rock
Baby	Justin Bieber	Pop
Beautiful Day	U2	Rock
Best Day Of My Life	American Authors	Alternative/Indie
Birds of a Feather	Billie Eilish	Pop
Bittersweet Symphony	The Verve	Alternative/Indie
Blank Space	Taylor Swift	Pop
Blinding Lights	The Weeknd	Pop
Born This Way	Lady Gaga	Pop
California Love	Tupac Shakur	Hip-Hop
Can You Feel The Love Tonight	Elton John	Pop
Can't Feel My Face	The Weeknd	Pop
Can't Take My Eyes Off You	Franki Valli	Pop/Olides
Chandelier	Sia	Pop
Chanel	Tyla	Pop
Chapel of Love	Dixie Cups	R&B/Soul
Changes	David Bowie	Pop/Olides
Cheap Thrills	Sia	Pop
Cold Heart (Pnau Remix)	Dua Lipa & Elton John	Dance/Pop
Crazy	Gnarles Barkley	R&B/Pop/Dance
Dance The Night	Dua Lipa	Dance/Pop
Dancing Queen	ABBA	Dance/Oldies
Eight Days A Week	The Beatles	Pop/Oldies
Eleanor Rigby	The Beatles	Pop/Oldies
Electric Love	Børns	Pop
Enchanted	Taylor Swift	Pop
Everybody Wants To Rule The World	Tears For Fears	Pop/New Wave
Firework	Katy Perry	Pop
Flowers	Miley Cyrus	Pop
Fly Me To The Moon 	Sia	Pop
Get This Party Started	Pink	Pop
Good Luck, Babe	Chappell Roan	Pop
Grenade	Bruno Mars	Pop
Halo	Beyonce	Pop
Happy	Pharrell	Pop
Havana	Camila Cabello	Pop
Hello	Adele	Pop
I Can't Help Falling In Love With You	Elvis	Oldies/Romantic
I Just Might	Bruno Mars	Pop/R&B
I Like You (A Happier Song)	Post Malone ft. Doja Cat 	Pop
I'm Yours	Jason Mraz	Pop
Isn't She Lovely	Stevie Wonder	R&B/Oldies
It's So Easy (To Fall In Love)	Olivia Dean	Pop/Jazz
Jimmy Crooks	Drake	Hip-Hop
Just Give Me A Reason	Pink ft Nate Ruess	Pop
Kill Bill	SZA	Pop/R&B
Kiss Me More	Doja Cat ft. SZA	Pop/R&B
Latch	Disclosure	Pop/Dance
Leave the Door Open	Silk Sonic	R&B/Soul
Love Me LIke You Do	Ellie Goulding	Electro/Pop
Lovin' On Me	Jack Harlow	Hip-Hop
Moves Like Jagger	Maroon 5	Pop
Mutt	Leon Thomas	R&B
No Tears Left to Cry	Ariana Grande	Pop/R&B
Not Like Us	Kendrick Lamar	Hip-Hop
Out The Window	Kehlani	R&B
Padam Padam	Kylie Minogue	Pop/Dance
Perfect	Ed Sheeran	Pop/Romantic
Pink Pony Club	Chappell Roan	Pop
Poker Face	Lady Gaga	Pop
Rehab	Amy Winehouse	Pop
Roar	Katy Perry	Pop
Say So	Doja Cat	Pop
Selfish	Justin Timberlake	Pop
Shake It Off	Taylor Swift	Pop
Shallow	Lady Gaga & Bradley Cooper	Pop
Someone Like You	Adele	Pop/Romantic
Stay	The KID Laroy & Justin Bieber	Pop
Stay With Me	Sam Smith	Pop/Romantic
Stronger	Kelly Clarkson	Pop
Texas Hold 'Em	Beyonce	Pop/Country
Unholy	Sam Smith & Kim Petras	Pop
Unstoppable	Sia	Pop
Viva La Vida	Coldplay	Pop
Water	Tyla	R&B/Pop
Warm Love	Van Morrison	Pop/Oldies
Watermelon Sugar	Harry Styles	Pop
Woman	Doja Cat	Pop/R&B
Wrecking Ball	Miley Cyrus	Pop
Yesterday	The Beatles	Pop/Oldies
