GENRE	SONG	ARTIST
Pop	A Thousand Years	Christina Perri
Pop	All About That Bass	Meghan Trainor
Pop	All Of Me	John Legend
Pop	Anti Hero	Taylor Swift
Pop, Rock	Apologize	OneRepublic
Dance, Pop	Applause	Lady Gaga
Pop, Rock	Attention	Charlie Puth
Pop	Baby	Justin Bieber
Rock	Beautiful Day	U2
Alternative, Indie	Best Day Of My Life	American Authors
Alternative, Indie	Bittersweet Symphony	The Verve
Pop	Blank Space	Taylor Swift
Pop	Blinding Lights	The Weeknd
Pop	Born This Way	Lady Gaga
Pop	Can You Feel The Love Tonight	Elton John
Pop	Can't Feel My Face	The Weeknd
Pop, Oldies	Can't Take My Eyes Off You	Franki Valli
Pop	Chandelier	Sia
R&B, Soul	Chapel of Love	Dixie Cups
Pop, Oldies	Changes	David Bowie
Pop	Cheap Thrills	Sia
Pop	Closer	The Chainsmokers
Dance, Pop	Cold Heart (Pnau Remix)	Dua Lipa & Elton John
R&B, Pop, Dance	Crazy	Gnarles Barkley
Dance, Pop	Dance The Night	Dua Lipa
Dance, Oldies	Dancing Queen	ABBA
Pop, Oldies	Eight Days A Week	The Beatles
Pop, Oldies	Eleanor Rigby	The Beatles
Pop	Electric Love	Børns
Pop, New Wave	Everybody Wants To Rule The World	Tears For Fears
Pop	Firework	Katy Perry
Pop	Flowers	Miley Cyrus
Pop	Fly Me To The Moon	Sia
Pop	Get This Party Started	Pink
Pop	Good Luck, Babe	Chappell Roan
Pop	Grenade	Bruno Mars
Pop	Halo	Beyonce
Pop	Happy	Pharrell
Pop	Havana	Camila Cabello
Pop	Hello	Adele
Oldies, Romantic	I Can't Help Falling In Love With You	Elvis
Pop	I Like You (A Happier Song)	Post Malone ft. Doja Cat
Pop	I'm Yours	Jason Mraz
R&B, Oldies	Isn't She Lovely	Stevie Wonder
Pop	Just Give Me A Reason	Pink ft Nate Ruess
Pop, R&B	Kill Bill	SZA
Pop, R&B	Kiss Me More	Doja Cat ft. SZA
Pop, Dance	Latch	Disclosure
Electro, Pop	Love Me LIke You Do	Ellie Goulding
Pop	Love Story	Taylor Swift
Pop	Moves Like Jagger	Maroon 5
Latin Urbano	Ojitos Lindos	Bad Bunny & Bomba Estereo
Pop, Dance	Padam Padam	Kylie Minogue
Pop, Romantic	Perfect	Ed Sheeran
Pop	Pink Pony Club	Chappell Roan
Pop	Poker Face	Lady Gaga
Pop	Rehab	Amy Winehouse
Pop	Roar	Katy Perry
Pop	Say So	Doja Cat
Pop	Selfish	Justin Timberlake
Pop	Shake It Off	Taylor Swift
Pop	Shallow	Lady Gaga & Bradley Cooper
Pop, Oldies	Smooth Criminal	Michael Jackson
Pop, Romantic	Someone Like You	Adele
Pop	Stay	The KID Laroy & Justin Bieber
Pop, Romantic	Stay With Me	Sam Smith
Pop	Stronger	Kelly Clarkson
Pop, Country	Texas Hold 'Em	Beyonce
Pop, Oldies	Thriller	Michael Jackson
Pop	Unholy	Sam Smith & Kim Petras
Pop	Unstoppable	Sia
Pop	Viva La Vida	Coldplay
Pop, Oldies	Warm Love	Van Morrison
Pop	Watermelon Sugar	Harry Styles
Pop, R&B	Woman	Doja Cat
Pop	Wrecking Ball	Miley Cyrus
Pop, Oldies	Yesterday	The Beatles
Holiday, Pop	All I Want For Christmas Is You	Mariah Carey
Holiday, Oldies	Have Yourself A Merry Little Christmas	Frank Sinatra
Holiday, Pop	Holly Jolly Christmas	Michael Buble
Holiday, Pop	Its Beginning to Look a Lot Like Christmas	Michael Buble
Holiday	Jingle Bells	Gwen Stefani
Holiday	Jingle Bell Rock	Bobby Helms
Holiday	Joy To The World	Beethoven/Traditional
Holiday	Last Christmas	Wham! / Meghan Trainor
Holiday, Pop	Santa Baby	Ariana Grande
Holiday, Oldies	Silent Night	Frank Sinatra
Holiday	Winter Wonderland	Laufey
Holiday	You Make It Feel Like Christmas	Blake Shelton & Gwen Stefani
